stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
119,386J,Voie Ballastiere- El hrich,,35.24071716,8.74773774,,,0,
120,221M,Bir Bourekba,,36.4306822,10.57374512,,,0,
121,222N,Hammamet,,36.40764041,10.61245796,,,0,
122,223P,Omar Khayem,,36.42396851,10.66892545,,,0,
123,226T,M'Razka,,36.42924006,10.68475547,,,0,
124,224R,Nabeul Voyageurs,,36.45103216,10.73510445,,,0,
125,251Z,M'Saken,,35.7288961,10.60003267,,,0,
126,252A,Jemmal,,35.62861106,10.75759717,,,0,
127,253B,Moknine Marchandises,,35.62791331,10.89508299,,,0,
128,491J,Founi,,34.51622276,10.04313763,,,0,
129,471K,Hamada,,34.37870022,10.11725096,,,0,
130,695C,Beau Sejour,,37.15142298,9.79338412,,,0,
131,693A,Menzel Bourguiba,,37.13978232,9.80309944,,,0,
132,157L,Borj Cedria,,36.70348221,10.39742907,,,0,
133,160P,Erriadh,,36.69827887,10.42151708,,,0,
134,300G,La Goulette,,36.80668461,10.29095775,,,0,
135,541T,Aguila,,34.37963342,8.76840129,,,0,
136,542W,M'Dhilla,,34.2919887,8.72436,,,0,
137,543X,Sehib,,34.23695207,8.64682103,,,0,
138,535L,Tabeddit,,34.43649562,8.25932994,,,0,
139,536M,Redeyef,,34.38800844,8.1524871,,,0,
140,390N,Kasserine,,35.16740157,8.83470423,,,0,
141,432N,Sbeitla,,35.22759492,9.12811166,,,0,
142,434R,Zerzour,,35.24909178,9.3036993,,,0,
143,436T,Jilma,,35.27414411,9.42176497,,,0,
144,437W,Hajeb El Aioun,,35.36814098,9.57101274,,,0,
145,428J,Sidi Saad,,35.39127671,9.76072523,,,0,
146,371R,Gouraia,,35.85843977,8.68462775,,,0,
147,414S,Jerissa PV,,35.85025009,8.65280733,,,0,
148,415T,Tajerouine,,35.8519636,8.54596353,,,0,
149,267S,Mahdia,,35.50077491,11.06427159,,,0,
150,268T,Mahdia Ezzahra,,35.50004285,11.04831801,,,0,
151,266R,Borj Arif,,35.50619251,11.03036324,,,0,
152,271Y,Sidi Masaoud,,35.52107205,11.02721343,,,0,
153,MahZT,Mahdia ZT,,35.53690973,11.02740904,,,0,
154,264N,Baghdedi,,35.56953177,11.0184244,,,0,
155,263M,Charaf,,35.59488298,11.0098213,,,0,
156,262L,Bekalta,,35.615241,10.98936452,,,0,
157,261K,Teboulba,,35.63771689,10.96163178,,,0,
158,270X,Teboulba Zi,,35.63374675,10.94349548,,,0,
159,260J,Moknine Voyageurs,,35.63128285,10.91560693,,,0,
160,249X,Moknine Griba,,35.63799717,10.90690937,,,0,
161,248W,Ksar Helal,,35.64514422,10.90091172,,,0,
162,247T,Ksar Helal Zi,,35.65192285,10.8986172,,,0,
163,246S,Sayeda,,35.66606349,10.88817958,,,0,
164,245R,Lamta,,35.67019075,10.88283518,,,0,
165,244P,Bouhjar,,35.67235048,10.86763039,,,0,
166,243N,Ksiba Bennane,,35.68004136,10.8426818,,,0,
167,242M,Khnis/Bembla,,35.70904477,10.81243414,,,0,
168,254C,Frina,,35.73067056,10.81269737,,,0,
169,241L,Monastir Zi,,35.74018355,10.82040157,,,0,
170,272Z,La Faculte 2,,35.76131954,10.80932195,,,0,
171,238H,Monastir,,35.77062632,10.82529066,,,0,
172,231A,Sousse Bab Jdid,,35.823063,10.64159279,,,0,
173,232B,Sousse Mohamed V,,35.81599388,10.64324748,,,0,
174,233C,Sousse Sud,,35.80017296,10.64992398,,,0,
175,234D,Sousse Zi,,35.7821012,10.66837618,,,0,
176,235E,Sahline Ville,,35.75957863,10.70145588,,,0,
177,236F,Sahline Sebkha,,35.7576841,10.71653661,,,0,
178,239J,Les Hotels Monastir,,35.7601219,10.74489186,,,0,
179,237G,Aeroport Skanes Monastir,,35.76251566,10.75409804,,,0,
180, 230Z,Skanes,,35.76806581,10.78823238,,,0,
181,240K,La Faculte,,35.75961668,10.80735965,,,0,
182,193E,Sousse Voyageurs,,35.83042462,10.63805168,,,0,
183,191C,Kalaa Sghira,,35.82201389,10.57111821,,,0,
184,Aig.L12,Aig L12,,35.8217595,10.57564932,,,0,
185,623R,Borj Ettoum,,36.78765992,9.76155658,,,0,
186,625T,Mejez El Bab,,36.66572529,9.60651055,,,0,
187,631B,Sidi M'Himech,,36.78254734,9.27930806,,,0,
188,632C,Beja Marchandises,,36.73879422,9.18985756,,,0,
189,633D,Beja Voy,,36.72486817,9.1901878,,,0,
190,635F,Mastouta,,36.66161266,9.20907893,,,0,
191,661L,Sidi Smail,,36.59551755,9.11189895,,,0,
192,642N,Bou Salem,,36.61123811,8.96887978,,,0,
193,645S,Jendouba V,,36.50123609,8.77725543,,,0,
194,652B,Oued Meliz,,36.46961658,8.55133481,,,0,
195,657G,Ghardimaou,,36.44776829,8.43720421,,,0,
196,605W,Oued Ellil,,36.83583973,10.00910677,,,0,
197,612D,Mannouba,,36.81612972,10.10110789,,,0,
198,611C,Le Bardo,,36.81117303,10.11813918,,,0,
199,602R,Cité Erraoudha,,36.80625968,10.13921177,,,0,
200,Aig0730,Aiguille 0+730,,36.78707884,10.17716703,,,0,
201,643P,Benbachir,,36.59181891,8.905504,,,0,
202,120S,Tunis Ville,,36.79476927,10.18038057,,,0,
203,621N,Tebourba,,36.82916026,9.84436545,,,0,
204,624S,El Heri,,36.74198558,9.70168539,,,0,
205,627X,Oued Zarga,,36.67325366,9.42664993,,,0,
206,614F,Jedeida,,36.85079747,9.93345127,,,0,
207,671Z,Chaouat,,36.88948144,9.94447096,,,0,
208,672A,Sidi Othman,,36.96003895,9.92471303,,,0,
209,673B,Ain Ghelal,,37.02336071,9.83278994,,,0,
210,691Y,Ichkeul,,37.11492152,9.72926433,,,0,
211,692Z,Tinja,,37.15949621,9.75721346,,,0,
212,703L,La Pecherie,,37.25412318,9.83940251,,,0,
213,710W,Bizerte,,37.266437,9.86390027,,,0,
214,191C,kalaa Sghira,,35.82166731,10.57084812,,,0,
215,BAN,Bir Aniba,,36.79537885,10.157609,,,0,
216,1003,Aig-SS-L22,,35.78224699,10.66197462,,,0,
615,533J,El Ayoun,,34.42796706,8.28938433,,,0,
616,531G,Magroun,,34.3330461,8.39444109,,,0,
618,225S,Nabeul PV,,36.43218758,10.69396533,,,0,
619,162S,Khanguet,,36.62483116,10.46134734,,,0,
1015,402D,Lorbeuss,,36.10093705,8.93444309,,,0,
